Intent	Utterance	Response
Ask 	???? ??? ???? ???? ? ???? ?????? 	???? ??????
Ask 	???? ???? ??? ???? ? ?????	???? ??????
Ask 	???? ???? ?? ??? ?????? ? ??????? ???? ?????	???? ??????
Ask 	????? ???? ?????	???? ??????
Ask 	???? ???? ???? ?????	???? ??????
Ask 	????? ???? ?????	???? ??????
Ask 	????? ???? ????	???? ??????
Ask 	????? ??? ???? 5 ?????	???? ??????
Ask 	???? ??? ??? ??? ????? ????????	???? ??????
Ask 	???? ??? ?????? ??????	???? ??????
Ask 	???? ?????? ?????? ??????	???? ??????
Ask 	??????? ?????? ???? 	???? ??????
Ask 	???? ??? ???? ?????	???? ??????
Ask 	???? ???? ?? ???????? ??????	???? ??????
Ask 	???? ??? ???? ???? ? ???? ????	???? ??????
Ask 	???? ??? ???? ???? ?????? ??????	???? ??????
Ask 	????? ???? ?????	???? ??????
Ask 	?? ??? ????? ???????	???? ??????
Ask 	???? ???? ???? ????	???? ??????
Ask 	???? ???? ??????? ???? ??	???? ?????
Ask 	???? ??????? ???? ????? ???	???? ?????
Ask 	???? ????	???? ?????
Ask 	???? ???? ????? ???????	???? ?????
Ask 	???? ???? ??? ????????	???? ?????
Ask 	???? ???? ???? ???? ? ???? ????	???? ?????
Ask 	???? ???? ?? ???????? ??????	???? ?????
Ask 	 ????? ??? ????????	???? ?????
Ask 	???? ?????? ? ???? ? ????? ??? ???? ??? ???? ????	???? ?????
Ask 	????? ???? ?????? ??????	???? ?????
Ask 	???? ??? ???? ?? ?????? ??????	???? ?????
Ask 	????? ??? ????????	???? ?????
Ask 	???? ??? ??? ????????	???? ?????
Ask 	???? ???? ??? ?? ?? ???? ???	???? ?????
Ask 	????? ??? ????????	???? ?????
Ask 	???? ??? ???? ??????	???? ?????
Ask 	???? ???? ??? ??? ??????	???? ?????
Ask 	???? ? ???? ???? ??????	?????? ???
Ask 	 ???? ???? ???????	?????? ???
Ask 	???? ???? ?????	?????? ???
Ask 	??? ?? ???? ?????	?????? ???
Agree	???? ?? ???? ? ?????	?????? ? ?????
Agree	???? ? ?????? ?????? ???	?????? ? ?????
Agree	???	?????? ? ?????
Agree	????	?????? ? ?????
Agree	 ????	?????? ? ?????
Agree	???????? 	?????? ? ?????
Agree	??????	?????? ? ?????
Agree	?????? ?????	?????? ? ?????
Agree	???? ????? ???????? ? ????????	?????? ? ?????
Agree	???? ??? ???? ??????	?????? ? ?????
Agree	 ???? ????? ??????	?????? ? ?????
Agree	??? ???	?????? ? ?????
Agree	???? 	?????? ? ?????
Agree	???? ????	?????? ? ?????
Agree	?????	?????? ? ?????
Agree	??? ??	?????? ? ?????
Agree	???? ????	?????? ? ?????
Agree	???? ???	?????? ? ?????
Agree	????	?????? ? ?????
Agree	????? ??? ?????? ??	?????? ? ?????
Agree	??? ??? ?????	?????? ? ?????
Agree	???? 	?????? ? ?????
Agree	???? ????	?????? ? ?????
Agree	????	?????? ? ?????
Agree	???? ???? ?????? ??	?????? ? ?????
Agree	?????	?????? ? ?????
Agree	???? ??????	?????? ? ?????
Agree	???? ????	?????? ? ?????
Agree	????	?????? ? ?????
Agree	????? ???? ????	?????? ? ?????
Agree	??? ???? ??????	?????? ? ?????
Agree	???? ???? ????	?????? ? ?????
Agree	?? ???? ??	?????? ? ?????
Refuse	?? 	???? ?????? ???? ?????
Refuse	 ?????? ??? ????? ???? ????	???? ?????? ???? ?????
Refuse	?? ????? ????/????/??????...	???? ?????? ???? ?????
Refuse	?????? ????? ??? ????	???? ?????? ???? ?????
Refuse	???????? ?? ????	???? ?????? ???? ?????
Refuse	????? ???? ?????	???? ?????? ???? ?????
Refuse	????? ???? ????? ????	???? ?????? ???? ?????
Refuse	????? ??? ???? ?????	???? ?????? ???? ?????
Refuse	?? ??? ???????? ?????? ??	???? ?????? ???? ?????
Refuse	???? ???? ?? ??????	???? ?????? ???? ?????
Refuse	?? ????	???? ?????? ???? ?????
Refuse	?? ???? ??????	???? ?????? ???? ?????
Refuse	????? ???	???? ?????? ???? ?????
Refuse	?? ??? ???? ?????	???? ?????? ???? ?????
Refuse	?? ??? ???? ?????	???? ?????? ???? ?????
Refuse	????? ???? ??? ??	???? ?????? ???? ?????
Refuse	?? ?? ??????	?? ????? ????? ???? ?????
Refuse	?? ?? ???? ??	?? ????? ????? ???? ?????
Refuse	?? ??? ???? ?????	?? ????? ????? ???? ?????
Refuse	???? ???? ??? ??	?? ????? ????? ???? ?????
Refuse	?? ?? ?????? ??	?? ????? ????? ???? ?????
Refuse	???? ????	?? ????? ????? ???? ?????
Refuse	?????? ?? ?? ?????	?? ????? ????? ???? ?????
Refuse	??? ??????	?? ????? ????? ???? ?????
Refuse	??	?? ????? ????? ???? ?????
